col_sadz;Popis
85 311 030;Poplachové zariadenia na ochranu budov
85 123 010;Poplachové zariadenia proti vlámaniu druhov používaných pre motorové vozidlá
85 291 069;Antény, ostatné
85 065 090;Baterie Lítiové ostatné
85 072 080;Akumulátory Olovené ostatné
85 073 080;Akumulátory Niklokadmiové ostatné
85 043 180;Trafá, adaptéry ostatné
392 590;Stavebné výrobky z plastov
73 181 410;Samorezné skrutky z nehrdzavejúcej ocele
62 113 210;Pracovné odevy z bavlny
85 444 920;Drôty a káble, izolované, používané v telekomunikáciach
39 219 030;Ostatné fólie, pásy a pásky z plastov, laminované
39 269 092;Ostatné výrobky z plastov, vyrobené z fólií
39 261 000;Kancelárske alebo školské potreby, ostatné výrobky z plastov
48 201 030;Poznámkové bloky z papiera
39 269 097;Ostatné výrobky z plastov
61 091 000;Vrchné tričká (T-shirts) pletené z bavlny
61 143 000;ostatne odevy pletené alebo háčkované z chemických vlákien
85 311 095;Ostatné poplachové zariadenia
