Registrační číslo;JV Váha komplet SK
AC-100LCD;0,168
CZ-1263.1;0,010
AC-160-C;0,050
AC-160-DIN;0,076
ACC-D-UX5R;0,062
ACC-S3.5X40;0,148
ACC-S4.5X50;0,280
ACC-SH4.5X50;0,398
AN-05 2G-3G;0,060
AN-13GPS;0,102
AN-868;0,176
AN-868-2PIN;0,176
AS-1;0,064
BAT-100A;0,138
BAT-1V2-NIMH.1;0,026
BAT-1V5-AA;0,024
BAT-1V5-AAA;0,012
BAT-3V0-CR123A;0,016
BAT-3V0-CR2032;0,002
BAT-3V0-CR2354;0,006
BAT-3V2-CR2;0,012
BAT-3V6-1/2AA-LS;0,008
BAT-3V6-AA-LS;0,016
BAT-3V6-N170;0,018
BAT-3V6-R20;0,096
BAT-3V7-2500;0,048
BAT-3V7-5000;0,086
BAT-4V8;0,190
BAT-4V8-N900;0,086
BAT-6;0,002
JI-114C;0,820
BB-02;0,144
SAM-252.10;0,002
SAM-253.10;0,002
SAM-252.21;0,002
SAM-253.21;0,002
BB-03;0,144
BH-80A;0,052
BL-MCB;0,152
BM-03 CS;1,780
CA-2103;1,018
CA-2103SET B;1,076
CA-2103SET P;1,066
CA-340PRG;0,136
CA-345;0,732
CA-551;0,066
CC-01;9,635
CC-02;7,230
CC-03;16,000
CC-11;13,636
CP-201A;0,016
CU-07A;0,194
CU-08;0,486
CU-08RF;0,104
DE06-12;0,118
EI208DW;0,216
EI208W;0,206
GBT-212;0,128
GD-02K-DIN;0,222
GD-04A;0,194
GD-04K;0,416
GD-04P;0,138
GS-133;0,170
GS-208-CO;0,086
HLK-PM12JBT;0,049
JA-102KRY;1,232
JA-102KY;1,212
JA-103K;1,214
JA-103K-7AH;2,144
JA-103KR;1,302
JA-107K;2,262
JA-107KR;2,270
JA-110A;0,096
JA-110A II;0,118
JA-110B;0,082
JA-110E;0,282
JA-110F;0,070
JA-110G-CO;0,084
JA-110N-DIN;0,070
JA-110P;0,104
JA-110P PET;0,108
JA-110ST;0,202
JA-110T;0,020
JA-110TP;0,104
JA-110Z;0,136
JA-110Z-B;0,022
JA-110Z-C;0,018
JA-110Z-D;0,062
JA-111A-BASE;0,756
JA-111H TRB;0,016
JA-111H-AD TRB;0,016
JA-111I;0,038
JA-111M;0,052
JA-111M-AN;0,044
JA-111MB;0,052
JA-111M-GR;0,044
JA-111R;0,092
JA-111R 80;0,092
JA-111SH;0,042
JA-111ST-A;0,226
JA-111TH;0,038
JA-112E-WH;0,146
JA-112I;0,048
JA-112J;0,088
JA-112M;0,054
JA-112P;0,120
JA-112P-AN;0,120
JA-112P-GR;0,120
JA-113E-AN;0,208
JA-113E-GR;0,208
JA-113E-WH;0,208
JA-113M;0,050
JA-113M-AN;0,050
JA-113M-GR;0,050
JA-114E-AN;0,284
JA-114E-GR;0,284
JA-114E-WH;0,262
JA-114HN;0,062
JA-115A;1,440
JA-115E;0,318
JA-115E-AN;0,318
JA-115E-GR;0,318
JA-115P;0,184
JA-116E;0,264
JA-116E-AN;0,264
JA-116E-GR;0,264
JA-116H;0,114
JA-118M;0,030
JA-120E-BK;0,184
JA-120E-WH;0,184
JA-120N;0,142
JA-120PB;0,146
JA-120PC;0,144
JA-120PC (90);0,150
JA-120PW;0,146
JA-120Z;0,540
JA-121E-BK;0,218
JA-121E-WH;0,218
JA-121T;0,034
JA-122E;0,242
JA-122E-NFC;0,250
JA-122PB;0,156
JA-122PB-AN;0,156
JA-122PB-GR;0,156
JA-122PC;0,154
JA-122PC-AN;0,154
JA-122PC-GR;0,154
JA-122PW;0,164
JA-122PW (G);0,164
JA-122PW-AN;0,156
JA-122PW-GR;0,156
JA-123E;0,250
JA-123E-NFC;0,255
JA-150A II;0,130
JA-150E;0,290
JA-150EM-DIN;0,058
JA-150G-CO;0,032
JA-150IR;2,100
JA-150M;0,090
JA-150M-AN;0,070
JA-150MB;0,090
JA-150M-GR;0,070
JA-150N;0,046
JA-150P;0,118
JA-150P PET;0,118
JA-150R;0,368
JA-150ST;0,206
JA-150TP;0,098
JA-151F;0,052
JA-151IR;3,889
JA-151M;0,066
JA-151M-AN;0,052
JA-151MB;0,066
JA-151M-GR;0,052
JA-151N;0,024
JA-151ST;0,214
JA-151ST-A;0,224
JA-151TH;0,040
JA-152A;0,206
JA-152E;0,158
JA-152J MS II;0,059
JA-152KRY;0,430
JA-152M;0,074
JA-152P;0,128
JA-152P (G);0,128
JA-152P-AN;0,122
JA-152P-GR;0,122
JA-152SHM;0,074
JA-153E-AN;0,218
JA-153E-GR;0,218
JA-153E-WH;0,198
JA-153M;0,060
JA-153M-AN;0,060
JA-153M-GR;0,060
JA-154A;0,130
JA-154E;0,30
JA-154E-AN;0,326
JA-154E-GR;0,326
JA-154E-WH;0,306
JA-154J MS II;0,061
JA-155E;0,310
JA-155E-AN;0,310
JA-155E-GR;0,310
JA-155J;0,118
JA-155P;0,192
JA-156E;0,307
JA-156E-AN;0,307
JA-156E-GR;0,307
JA-156J;0,128
JA-157P;0,296
JA-158P;0,892
JA-159J;0,084
JA-159P;0,570
JA-160PC;0,152
JA-160PC (90);0,158
JA-162M;0,250
JA-162PB;0,164
JA-162PB-AN;0,164
JA-162PB-GR;0,164
JA-162PC;0,158
JA-162PC-AN;0,158
JA-162PC-GR;0,158
JA-162PW;0,168
JA-162PW (G);0,168
JA-162PW-AN;0,168
JA-162PW-GR;0,168
JA-163A-BASE-RB;0,580
JA-165A;1,278
JA-169P;0,490
JA-180B;0,078
JA-180PB;0,144
JA-180W;0,160
JA-182J;0,028
JA-182M;0,072
JA-182SH;0,048
JA-183M;0,080
JA-183MB;0,082
JA-185B;0,072
JA-185J;0,118
JA-185P;0,078
JA-186P;0,182
JA-187J;0,076
JA-188J;0,092
JA-190J;0,006
JA-190PL;0,064
JA-190T;0,138
JA-190X;0,038
JA-191PL;0,088
JA-191T;0,158
JA-191Y;0,058
JA-192E;0,026
JA-192E-AN;0,028
JA-192E-GR;0,028
JA-192E-WH;0,026
JA-192J;0,006
JA-192PL-A;0,016
JA-192Y;0,044
JA-193J;0,006
JA-193PL-BOX-M;0,062
JA-193PL-F-M-G;0,012
JA-193PL-F-M-W;0,012
JA-194J-BK;0,016
JA-194J-RE;0,016
JA-194PL;0,270
JA-194Y;0,054
JA-194Y-LITE;0,053
JA-195J;0,020
JA-195PL;0,122
JA-196J;0,006
JA-196PL-L;0,114
JA-196PL-S;0,094
JA-1X1A-C-AN;0,766
JA-1X1A-C-AN-B;0,764
JA-1X1A-C-GR;0,750
JA-1X1A-C-GR-B;0,750
JA-1X1A-C-ST;1,102
JA-1X1A-C-ST-B;1,102
JA-1X1A-C-WH;0,750
JA-1X1A-C-WH-B;0,750
JA-82T;0,164
JB-110N;0,044
JB-111N;0,032
JB-118N;0,038
JB-150N-HEAD;0,146
JB-160N-PLUG;0,148
JB-162N-PLUG;0,208
JB-EXT-TH-B;0,168
JB-EXT-TH-R;0,184
JB-TS-PT1000;0,074
JB-VA16;0,038
JB-VA26;0,044
JB-VA78;0,104
JB-VA80;0,042
JI-113C;0,953
JI-114C;
JI-114C-A;0,910
JI-114Z;0,820
JI-120T;0,310
JS-20;0,120
JS-25;0,128
JS-7902;0,002
JS-7904;0,002
JS-7910;0,006
JS-7920;0,006
LD-12;0,066
LD-81;0,068
MCB-03;0,110
OS-350;0,692
OS-365A;1,178
PC-02B;0,004
PLV-JA111R;0,064
PLV-P-ST;0,042
PS-001;0,556
PS-062A II;0,636
PT-P700-X;1,458
PT-TAPE02-BW;
PT-TAPE02-WB;0,044
PT-TAPE02-WG;0,058
PT-TAPE18-BW;0,062
PT-TAPE-BW;0,044
RB-524-DIN;0,056
SA-105;0,108
SA-200-A;0,026
SA-201-A;0,010
SA-203;0,014
SA-204;0,104
SA-210;0,014
SA-211;0,008
SA214-18;5,062
SA214-2.6;1,080
SA214-7;2,423
SA-220;0,246
SA-530-24V;0,224
SA-913FM;0,140
SA-913TM;0,144
SAM-252.10; 0,002   
SAM-252.21; 0,002
SAM-253.10; 0,002
SAM-253.21; 0,002
SD-283ST;0,218
SD-503ST;0,214
SD-TESTER;0,202
TH-80;0,132
TH-81;0,128
TP-150;0,142
TP-155;0,100
TP-155IR;0,144
VOD-JA-107K;0,280
WRE-KU68-BK;0,038
WRE-KU68-WH;0,038
WRE-SC-BK;0,032
WRE-SC-WH;0,032
